# HEADSET_ID: VIVE_XR_ELITE_001 | DATE: 2025-08-20
Session_Num,Time,Video_Name,Eye_Left_X,Eye_Left_Y,Eye_Left_Z,Eye_Right_X,Eye_Right_Y,Eye_Right_Z,Head_X,Head_Y,Head_Z,Head_Rot_X,Head_Rot_Y,Head_Rot_Z,Head_Rot_W
# START SESSION 0: 22:25:09
0,22:25:09,,-0.5668,0.0301,-0.8233,-0.6166,0.0019,-0.7873,0.0373,1.8728,-0.0386,0.0324,-0.9149,0.0544,-0.3986
0,22:25:10,,-0.7744,0.1112,-0.6228,-0.8130,0.0829,-0.5763,0.0372,0.0261,-0.0385,0.0328,-0.9149,0.0537,-0.3988
0,22:25:11,,-0.7255,0.1098,-0.6793,-0.7844,0.0701,-0.6163,0.0372,0.0260,-0.0386,0.0326,-0.9151,0.0544,-0.3982
0,22:25:12,,-0.8673,0.1274,-0.4812,-0.8858,0.1095,-0.4510,0.0371,0.0260,-0.0387,0.0323,-0.9158,0.0540,-0.3966
0,22:25:13,,-0.7765,0.1239,-0.6178,-0.8112,0.0989,-0.5764,0.0369,0.0265,-0.0386,0.0315,-0.9167,0.0489,-0.3954
0,22:25:14,,-0.6430,0.1030,-0.7589,-0.6920,0.0748,-0.7180,0.0368,0.0267,-0.0386,0.0324,-0.9171,0.0471,-0.3946
0,22:25:15,,-0.8094,0.1716,-0.5616,-0.8369,0.1501,-0.5263,0.0364,0.0270,-0.0386,0.0356,-0.9175,0.0445,-0.3937
0,22:25:16,,-0.7493,0.1668,-0.6409,-0.7733,0.1510,-0.6158,0.0365,0.0271,-0.0385,0.0355,-0.9171,0.0444,-0.3947
0,22:25:17,,-0.6966,0.1632,-0.6986,-0.7416,0.1356,-0.6570,0.0364,0.0271,-0.0386,0.0369,-0.9174,0.0443,-0.3938
0,22:25:18,,-0.6427,0.3011,-0.7045,-0.7121,0.2603,-0.6520,0.0381,0.0146,-0.0434,0.0081,-0.9157,0.1520,-0.3719
0,22:25:19,,-0.7004,-0.2931,-0.6508,-0.7631,-0.3425,-0.5481,0.0325,0.0367,-0.0339,0.0768,-0.9097,-0.0419,-0.4060
0,22:25:20,,-0.5940,0.1485,-0.7907,-0.6984,0.1040,-0.7081,0.0325,0.0309,-0.0393,0.0019,-0.9411,-0.0085,-0.3380
0,22:25:21,,-0.5912,0.0611,-0.8042,-0.6763,0.0191,-0.7364,0.0343,0.0223,-0.0433,-0.0032,-0.9383,0.0750,-0.3375
